,runstring,m1,m2,m3
26,0000026.bin,1.7453149093838526e-05,4.0574941004332655e-07,4.125494023418148e-07
27,0000027.bin,8.82046863405789e-06,1.2708919326696989e-05,7.432604226433706e-05
28,0000028.bin,2.1820842293838305e-07,2.469201321407136e-07,6.191311724673287e-06
29,0000029.bin,4.409173224673687e-06,1.0901731210811885e-06,3.4241538188904845e-05
30,0000030.bin,4.142329996925199e-06,7.372067973157915e-07,1.2305824742692103e-07
31,0000031.bin,1.0885158123053962e-07,2.1736848738870888e-07,1.5083845821755194e-06
32,0000032.bin,1.707125114555645e-07,4.3737138747509274e-07,8.116803108739497e-07
33,0000033.bin,5.140262163216657e-06,7.88313541284744e-06,2.8249552960592005e-05
34,0000034.bin,3.861945572239303e-06,5.717952776098568e-06,3.388274721453813e-05
35,0000035.bin,4.42673798221742e-06,1.7849368315728056e-05,1.745501346735849e-05
36,0000036.bin,9.685043186070345e-07,8.905160468377195e-05,7.546448392974404e-05
37,0000037.bin,1.1117667511911207e-05,1.8828157571914374e-07,7.135904785109022e-06
38,0000038.bin,8.28745310919642e-06,1.936702674944168e-06,1.489006048716017e-05
39,0000039.bin,4.261414051814816e-07,1.4328269244152324e-06,3.847520506168599e-07
40,0000040.bin,2.3758560740028855e-06,4.3013393902998736e-05,1.246061395417474e-07
41,0000041.bin,1.3901512994242143e-06,4.922180764900293e-07,3.148546944293568e-07
42,0000042.bin,8.284768840933803e-06,1.1885905298319067e-07,6.684792870390741e-07
43,0000043.bin,1.3051352453616748e-07,1.2265152937498949e-05,2.702711342097166e-07
44,0000044.bin,1.681154540009978e-06,4.225868973907805e-06,3.855758719984829e-05
45,0000045.bin,6.540730319855326e-07,2.91128433508858e-06,1.7605080981268027e-07
46,0000046.bin,4.621726369179645e-05,1.5848318404348868e-06,5.832577905028209e-06
47,0000047.bin,1.1364197361361094e-06,1.9523547705591597e-06,2.296215217449213e-06
48,0000048.bin,4.410354359965502e-06,2.4869920106897634e-07,1.3634541143999553e-05
49,0000049.bin,1.5872740971656702e-07,1.7367145760432073e-06,2.1454292722255877e-07
50,0000050.bin,3.1089211420179565e-06,6.288125041605345e-07,8.170214983950546e-06
51,0000051.bin,5.37716407119343e-07,3.210901392639435e-06,3.0606420652757446e-07
52,0000052.bin,8.611217825990649e-05,1.4573637574172842e-07,1.5030906162542607e-05
53,0000053.bin,7.1027156749871895e-06,4.6818302096634375e-05,2.3413247679915737e-06
54,0000054.bin,5.5071755136543555e-05,2.584842339421303e-07,4.658117172540118e-06
55,0000055.bin,1.8664637638577123e-07,7.110509052895497e-05,2.8178194270804906e-07
56,0000056.bin,7.902373711581117e-05,4.778237606147212e-06,2.6364264777671667e-06
57,0000057.bin,1.341828898063412e-07,5.875696450158693e-06,1.1427005437589798e-07
58,0000058.bin,5.524226728052736e-06,4.141636667276675e-07,8.431563268252425e-06
59,0000059.bin,4.7049652975083806e-07,6.279439633872082e-05,6.874337127457261e-05
60,0000060.bin,8.38340146530367e-07,5.4184320508659214e-06,6.264033998981233e-07
61,0000061.bin,3.044123781552538e-06,4.678161284012672e-06,2.6867562417649686e-05
62,0000062.bin,6.0809957184687746e-05,3.304309128362785e-07,8.163694981011724e-05
63,0000063.bin,2.164799482679167e-06,7.625449460261221e-07,5.3491727330076294e-05
64,0000064.bin,2.6820988917015966e-06,7.774226024268861e-06,1.6288568129993333e-06
65,0000065.bin,1.7548176662689567e-06,7.296263634097227e-07,3.4208735643830325e-05
66,0000066.bin,1.6308979287756594e-07,2.0126268453982955e-06,5.479605754257525e-07
67,0000067.bin,1.6764139674983662e-07,1.9861050124647324e-05,8.24671531968913e-05
68,0000068.bin,1.678830330789693e-05,6.643725027525133e-05,1.7466673033190833e-05
69,0000069.bin,1.1290751712825108e-05,1.938705870762895e-07,3.167702729388384e-07
70,0000070.bin,5.3617642386991405e-05,7.624952143708009e-07,2.389470306497276e-06
71,0000071.bin,9.359659238480396e-07,7.245835257942269e-06,1.0603274348648402e-07
72,0000072.bin,1.6606570915508731e-07,6.068561917576552e-06,9.296958349802191e-05
73,0000073.bin,6.909496810943749e-07,3.209381396644941e-06,4.9254220400904815e-06
74,0000074.bin,3.794768925422824e-05,3.51430528429906e-06,2.1919586254817686e-07
75,0000075.bin,2.251828971873677e-06,2.0410737852068445e-06,1.3332246586558284e-07
76,0000076.bin,1.2932125878524402e-06,7.088532057925796e-05,3.9823496864182985e-07
77,0000077.bin,2.496583565707553e-05,9.499886841368887e-07,5.265996246918876e-07
78,0000078.bin,2.7760957186855078e-05,1.9411935080308387e-07,5.931751427147353e-05
79,0000079.bin,2.729031103694529e-07,1.1182367627818183e-06,3.081821618471047e-07
80,0000080.bin,6.523389943576091e-07,4.223959869225597e-06,1.3316528753981249e-05
81,0000081.bin,3.294740703994366e-06,2.290098379791028e-06,4.71967916875577e-06
82,0000082.bin,2.717450600155708e-07,2.949116822919981e-06,3.2756722707894786e-06
83,0000083.bin,3.07941704554432e-06,3.71785211279207e-05,1.8453666586141645e-07
84,0000084.bin,1.565284883754403e-05,5.523131348761844e-05,1.2941655557974482e-07
85,0000085.bin,3.9697770718765887e-07,7.000963372664346e-06,2.0957089675109864e-07
86,0000086.bin,2.3690695345447584e-05,1.239085310574438e-07,3.260062399979534e-05
87,0000087.bin,2.740718315236023e-07,3.6942473049460476e-07,3.2909584716315696e-05
88,0000088.bin,1.5576383489508094e-06,3.7028379788398366e-07,5.0970390389697296e-05
89,0000089.bin,1.7509429416671668e-07,6.613149907413697e-06,9.844270791330955e-05
90,0000090.bin,4.08330050355839e-07,1.897056499470944e-07,9.515683903389901e-06
91,0000091.bin,1.7805802973152173e-07,3.289447228904414e-07,1.125731066289768e-05
92,0000092.bin,1.8328792004345592e-06,4.951584439199457e-06,4.725212487592808e-06
93,0000093.bin,5.457956601362388e-05,3.0412298319157494e-06,4.982007345410797e-06
94,0000094.bin,4.3692275217518195e-06,2.3569843637884104e-07,6.92278489839154e-07
95,0000095.bin,1.9075873550254115e-05,3.4789629760704863e-06,9.801816151098095e-05
96,0000096.bin,1.293549136453612e-06,5.2829367238972256e-05,1.5419839547299053e-06
97,0000097.bin,3.833643672122159e-07,2.6195814378948875e-05,1.306711020327599e-06
98,0000098.bin,1.1727207789106544e-06,3.1151634047332596e-05,1.140606760833945e-06
99,0000099.bin,1.6290492896775638e-06,3.9831469923710043e-07,3.438800345971753e-07
100,0000100.bin,2.735317634148992e-07,2.316226433137286e-06,2.0528225842656277e-05
101,0000101.bin,5.539319272481423e-06,3.8394011143480124e-07,7.8659887543578e-05
102,0000102.bin,2.783002645436941e-07,7.045241120137717e-06,3.228921354067514e-07
103,0000103.bin,8.652674373905343e-05,2.3382709216296576e-06,1.4339734230940547e-05
104,0000104.bin,7.58372874208345e-05,4.126587526239345e-05,1.5693358077255815e-05
105,0000105.bin,4.3082217331745406e-05,1.1152081651364983e-06,2.3559766383833534e-05
106,0000106.bin,1.3553491857069842e-05,5.050364017126926e-05,1.1227705925003455e-07
107,0000107.bin,5.488401558788078e-07,5.544594517181251e-06,8.257394254916037e-05
108,0000108.bin,2.463546078002058e-07,2.7983568089512565e-05,4.378465451145284e-05
109,0000109.bin,6.898411797568037e-07,2.3869148308863062e-06,4.38220035706675e-06
110,0000110.bin,6.35017784013237e-05,1.4591642772175247e-06,2.916913758353995e-05
111,0000111.bin,3.0304819108925544e-05,4.3479980989327607e-07,6.72292599768643e-05
112,0000112.bin,2.7780490034801414e-06,9.960076444232856e-06,7.236042107364089e-06
113,0000113.bin,1.2349971647463014e-07,4.007320827082563e-05,1.4663175239050723e-05
114,0000114.bin,5.282098596237647e-07,1.9663538999089307e-07,9.948973481832017e-06
115,0000115.bin,4.871998265625137e-05,3.8976693067450023e-07,2.188446324665692e-07
116,0000116.bin,2.9112036984771638e-05,6.301087942511468e-06,1.4669054532688352e-05
117,0000117.bin,5.251811020680044e-07,3.113202335719346e-07,1.583233362488547e-06
118,0000118.bin,1.358147077337686e-05,3.528707570537234e-07,1.9817420815928783e-07
119,0000119.bin,6.01088716434478e-05,3.463034721408237e-07,2.2504390946441432e-05
120,0000120.bin,3.5060157442619664e-06,3.680819439883638e-07,7.223681368795693e-05
121,0000121.bin,1.8276981009879233e-07,5.641885364186837e-06,1.560466599408885e-06
122,0000122.bin,3.3888747676374502e-06,6.1800823385176155e-06,8.070390746703866e-07
123,0000123.bin,1.435789577894234e-07,1.8262491742267415e-07,1.6661929440969373e-06
124,0000124.bin,7.626798461096221e-05,4.4133251846961345e-06,3.3981181334849237e-07
125,0000125.bin,5.013888334647705e-05,4.6515410490623093e-07,2.6554625206849918e-05
126,0000126.bin,5.220717793750532e-06,5.422401658459864e-06,2.3390621096178985e-06
127,0000127.bin,1.3605903444776603e-07,7.442325735550908e-06,4.922135207275165e-06
128,0000128.bin,6.608490515754656e-05,5.127957459766614e-07,3.4240018104855025e-06
129,0000129.bin,5.7318300549747976e-06,2.218641384978827e-05,6.537201241063806e-07
130,0000130.bin,3.625215478987773e-06,6.606402953805476e-07,1.6687682886468664e-05
131,0000131.bin,8.837014475882623e-07,2.0398815697981803e-05,1.8313067450901202e-07
132,0000132.bin,1.726976714172469e-06,1.6717306431566222e-06,4.9348652564943294e-05
133,0000133.bin,3.0303860026687936e-06,2.799379253116991e-06,2.0270199212663795e-05
134,0000134.bin,2.8337156470149194e-06,3.9473410987758894e-07,8.946196240366122e-05
135,0000135.bin,1.0200115948226144e-05,7.52326119581088e-06,5.601730389801455e-06
136,0000136.bin,5.335174447761026e-06,3.839552180941073e-06,1.9928254393116114e-06
137,0000137.bin,1.6485408864427084e-07,1.6993598816036063e-06,9.348978253061725e-05
138,0000138.bin,3.804600009693792e-07,2.2403653922972133e-06,1.2430678914382134e-05
139,0000139.bin,1.0104865060073556e-07,1.2160791372523848e-05,4.1351411685012985e-06
140,0000140.bin,2.064300031033518e-05,1.927690676514863e-07,6.318619816842499e-07
141,0000141.bin,3.564205192132353e-06,1.2318636908499795e-07,2.2507293125942847e-05
142,0000142.bin,5.59455204231424e-06,1.0979192697188792e-05,2.8917573005454783e-06
143,0000143.bin,5.23737252728611e-05,3.5826231266653443e-05,1.3723053689153424e-07
144,0000144.bin,2.2120842578639744e-06,2.3077348403512384e-06,6.831861951687442e-05
145,0000145.bin,4.087212026714258e-05,2.619530398717803e-05,5.433780320844937e-05
146,0000146.bin,2.5119182437365716e-07,7.412496776978827e-06,2.0789215006083352e-05
147,0000147.bin,6.542137100733709e-06,2.795070013660541e-07,6.831945125956812e-05
148,0000148.bin,1.623698026511288e-06,8.092653059479612e-06,8.14314320709121e-05
149,0000149.bin,1.63426516048471e-07,5.690654680410508e-07,2.6072481743037254e-07
150,0000150.bin,2.960886268497143e-05,4.848724145390319e-05,3.6610463874191544e-07
151,0000151.bin,1.3174107585186573e-05,3.4509920897542546e-05,7.117984140596713e-05
152,0000152.bin,8.569588503395786e-05,1.4940030196200906e-06,2.7450125481847843e-07
153,0000153.bin,9.552191639914322e-05,1.6865587501325693e-07,6.026029242622371e-07
154,0000154.bin,4.068430665602667e-07,5.841086378860296e-05,1.338312539913774e-06
155,0000155.bin,5.529156462673164e-06,4.151066051412217e-06,4.7960366157397366e-05
156,0000156.bin,2.9062865804039975e-06,4.643459134387294e-05,5.525755480092393e-07
157,0000157.bin,6.838017022245471e-06,4.7249943584288454e-07,1.1201179992948537e-07
158,0000158.bin,1.1291637287886024e-05,9.693299089180559e-05,6.354532567562555e-05
159,0000159.bin,1.5260179603903357e-06,1.0413869880261842e-05,5.407107037503078e-07
160,0000160.bin,2.3313691187786156e-07,1.0704014640794766e-06,3.3358125263185793e-07
161,0000161.bin,3.5861645207148443e-06,4.477124867574529e-06,4.882953369079283e-07
162,0000162.bin,1.4491472272196077e-07,5.114805797094321e-05,4.110252418857241e-07
163,0000163.bin,4.20980581510495e-06,2.351331531942531e-06,5.661843807355157e-06
164,0000164.bin,1.9319892315650947e-07,8.000357358928097e-07,6.775942266414937e-05
165,0000165.bin,1.123246354122756e-07,7.682097528004674e-05,4.72832124709167e-05
166,0000166.bin,3.4367114017164685e-07,6.452678554720662e-06,1.9233664475160184e-06
167,0000167.bin,4.858326714374276e-07,1.8350965482578663e-07,1.8781138946407356e-06
168,0000168.bin,1.7245622627861536e-05,3.5572033805701103e-06,1.3768153434759647e-06
169,0000169.bin,5.842281792975202e-07,7.484515097925143e-06,4.633212415223813e-06
170,0000170.bin,2.3025235198029557e-05,5.366866741196343e-05,5.750823526157497e-06
171,0000171.bin,2.2114386129805093e-05,4.847057363485803e-06,8.876274773339282e-05
172,0000172.bin,1.141719895344343e-06,4.3849317731557487e-07,3.509911051200669e-05
173,0000173.bin,9.383830881375414e-07,1.013379627891056e-05,2.1556121978705394e-05
174,0000174.bin,2.5840989528519423e-05,2.120964316343741e-06,1.183003305809409e-07
175,0000175.bin,2.147228105363873e-06,1.4303751057143888e-07,5.251041777771492e-06
176,0000176.bin,1.2277148488534154e-07,2.005900252429121e-05,4.684942960026893e-07
177,0000177.bin,8.007934678380205e-05,3.130465005146703e-06,5.596196240749243e-06
178,0000178.bin,7.012380536814292e-05,7.401548479420237e-05,4.770152878484099e-05
179,0000179.bin,5.064122771663245e-05,3.931279040238779e-07,2.9783203271498726e-05
180,0000180.bin,2.70844124472069e-07,1.0547245981767557e-05,7.168413951569097e-06
181,0000181.bin,5.531280941472167e-06,2.0698374423724884e-07,1.009930985185735e-06
182,0000182.bin,2.27089783385774e-06,5.015934646006008e-07,5.811639338235141e-05
183,0000183.bin,2.107817788272297e-07,1.7471285298521308e-05,1.0091255499533743e-07
184,0000184.bin,6.725951483680067e-07,5.265934860850199e-07,6.238354718219487e-05
185,0000185.bin,5.019629229827507e-05,2.5956857467496387e-05,2.851663486433083e-07
186,0000186.bin,1.063895465016569e-06,1.7529629099818393e-06,4.399342125724261e-06
187,0000187.bin,1.1316508874755524e-06,2.6674937846228705e-06,6.040030264777348e-06
188,0000188.bin,2.3387928011442145e-05,3.3660728293816543e-05,4.614838766942003e-07
189,0000189.bin,2.820323242360506e-06,1.7069435184027674e-05,2.684644312126396e-07
190,0000190.bin,1.6740244363834377e-07,1.799969655955707e-05,4.786321374726896e-05
191,0000191.bin,1.894635097944877e-05,2.297187599533062e-05,4.1137763274168854e-05
192,0000192.bin,1.3182827271137178e-06,7.908441942749433e-07,2.513943008121755e-06
193,0000193.bin,4.845942662510829e-06,4.555066840013533e-05,1.9514122766329203e-05
194,0000194.bin,2.784034479949628e-05,1.5908980151690688e-07,2.866524291022335e-07
195,0000195.bin,6.117249590999518e-06,1.3379088222968596e-07,3.963204541491069e-07
196,0000196.bin,8.87561273699386e-06,1.3589803259595806e-05,1.3771322087918247e-05
197,0000197.bin,4.165142818567427e-06,2.4980012566438295e-07,1.1572943891063966e-07
198,0000198.bin,1.4419025004199698e-07,1.3627436578008557e-05,2.0073562254253472e-07
199,0000199.bin,1.0782943912656113e-06,1.5123634545767372e-06,6.767471448758929e-07
200,0000200.bin,1.370338647501016e-07,4.077002000835405e-07,1.3408245484146988e-05
201,0000201.bin,1.5896692602559206e-07,9.479788825955989e-07,1.0257135891652925e-07
202,0000202.bin,1.9572428868237373e-05,8.59690748745988e-06,1.6916645186730677e-06
203,0000203.bin,1.8718651004804534e-07,3.3598812872009984e-05,6.329315302666133e-06
204,0000204.bin,1.5513845419582888e-06,1.804577918852513e-07,5.6457213877301904e-06
205,0000205.bin,2.0102516873925958e-06,1.4915068093648188e-05,4.061084892569465e-06
206,0000206.bin,1.0615574731005072e-07,8.227416876715516e-07,1.6148374861704945e-05
207,0000207.bin,3.2955659029470294e-06,1.0167065824016123e-05,3.634509422898875e-05
208,0000208.bin,6.873645978227086e-07,2.1965288767733196e-05,1.4707645327344306e-07
209,0000209.bin,4.689369393055112e-06,1.1751219849164956e-07,7.878037034489203e-05
210,0000210.bin,1.4259810275572809e-06,1.1007907338759498e-05,1.5169651573066208e-05
211,0000211.bin,4.950942993961913e-06,1.668553551197869e-05,1.1560902284152537e-07
212,0000212.bin,1.544502838339863e-06,8.853547509368123e-05,1.3060788678987986e-05
213,0000213.bin,2.8604795582587077e-07,4.586631602668065e-07,1.1473598578472208e-07
214,0000214.bin,3.5632835252087797e-06,1.164254535615736e-06,7.898556899981756e-07
215,0000215.bin,1.3556316540931962e-07,5.7204849601931617e-05,1.9877668372314802e-07
216,0000216.bin,3.769354391803028e-05,8.431168474805007e-06,1.3308301244531443e-05
217,0000217.bin,7.602846876552096e-05,5.091090372858403e-07,5.686296635788753e-07
218,0000218.bin,7.963190712745925e-07,2.1202816840378857e-07,6.985969403442742e-05
219,0000219.bin,1.243569783567793e-05,1.048890908243635e-06,1.3196116634743435e-07
220,0000220.bin,1.747906675105964e-05,5.00055743686747e-07,5.617928097049869e-07
221,0000221.bin,5.450097223200369e-07,1.9088904463734333e-07,6.950569137422717e-07
222,0000222.bin,2.1699478552365023e-05,5.078508213484891e-07,8.286654804306563e-07
223,0000223.bin,9.915314680384601e-07,2.086430920303177e-06,1.498664538669083e-06
224,0000224.bin,1.5536401703349324e-07,3.7161597255886724e-07,1.7000962260065746e-07
225,0000225.bin,1.2593174890730114e-05,5.229435783660297e-07,1.5273294106412334e-05
226,0000226.bin,2.832388575972945e-06,3.716456541173196e-05,4.473266347719117e-06
227,0000227.bin,1.5746151310283664e-06,2.8071116105492133e-05,1.1510609170010723e-05
228,0000228.bin,5.739246761237288e-05,1.2197726543241226e-05,4.581463943796559e-07
229,0000229.bin,3.8584973571888935e-06,4.737940436796071e-07,3.951309129710066e-06
230,0000230.bin,1.3031284098441523e-05,8.050330676941704e-07,6.571497077438085e-05
231,0000231.bin,3.660403633838981e-05,7.696200918128143e-05,2.9367795955937715e-05
232,0000232.bin,6.96719363949038e-07,5.007646918440085e-07,1.7436222907509166e-07
233,0000233.bin,1.1154002611618568e-05,7.672919342657137e-06,3.7629073317775013e-06
234,0000234.bin,1.0606191786263253e-06,3.9517162718769416e-05,3.74755491469791e-05
235,0000235.bin,1.0976265351913023e-06,3.5004319585227062e-06,1.2926090823199864e-07
236,0000236.bin,1.0464958375249093e-05,3.0614748489549492e-06,1.5732112283181567e-05
237,0000237.bin,7.371871899809403e-06,5.190217398213305e-05,8.139827262833009e-05
238,0000238.bin,2.44114235657534e-05,1.8611792113815055e-07,1.4389686792190753e-05
239,0000239.bin,2.2706641532364075e-07,3.03942787421474e-05,2.8148755867807745e-07
240,0000240.bin,3.9062054675548865e-05,1.4996180981542562e-07,7.293366022854474e-05
241,0000241.bin,1.1600338857732698e-05,1.818423646785385e-05,1.1542531879153311e-06
242,0000242.bin,1.014070394110029e-06,3.078275145229627e-06,7.688222422215386e-05
243,0000243.bin,8.589776192716687e-05,3.776072997377423e-06,1.8758955647834111e-06
244,0000244.bin,6.895497254604904e-05,2.3212195205760428e-05,1.0971495706955818e-05
245,0000245.bin,2.384843734225242e-07,2.585414309108112e-06,2.261856831705875e-06
246,0000246.bin,6.042606682636625e-05,3.5483826637811957e-06,1.4515496189428728e-05
247,0000247.bin,2.3700800763788335e-06,1.1572242065300098e-07,3.9456786931681185e-05
248,0000248.bin,3.2383002350898744e-05,1.4877114011429016e-05,2.4835917272102162e-05
249,0000249.bin,6.505252852790278e-07,3.710188036671826e-05,6.838460878743723e-07
250,0000250.bin,1.4543498328163739e-06,6.295872473590333e-05,4.857795449204242e-06
251,0000251.bin,2.1595197464756853e-06,1.4038971982427175e-06,5.419028147961105e-06
252,0000252.bin,2.1418280183761162e-05,1.118567277074719e-07,1.148343108928698e-05
253,0000253.bin,4.116989261198997e-06,1.396100507878708e-06,3.954604150661968e-05
254,0000254.bin,1.3317149227157763e-06,5.660643060005692e-07,9.682725441520453e-06
255,0000255.bin,1.465192022534702e-07,8.346007344215288e-06,2.4320123172318222e-05
256,0000256.bin,2.9278671226330478e-06,1.980516901453531e-06,1.333976595813694e-06
257,0000257.bin,8.937008983237722e-07,2.0167986368246932e-07,3.92584673631e-06
258,0000258.bin,9.140580572173333e-06,1.6545115297212816e-07,6.22993769491433e-05
259,0000259.bin,1.3142831172739245e-07,4.451139683829992e-06,2.0247799262294277e-06
260,0000260.bin,4.285614609933216e-07,6.517761604896537e-05,5.01648523799025e-06
261,0000261.bin,1.995928011598899e-06,9.739143657243874e-05,3.3611680393531264e-07
262,0000262.bin,8.701391270246723e-07,4.008650550317547e-06,2.5169829283814343e-06
263,0000263.bin,1.6840377877496656e-05,3.0463612278715595e-05,7.868413788135218e-05
264,0000264.bin,7.33958144955598e-06,1.0446312550521932e-05,4.346388677036068e-06
265,0000265.bin,2.6788400604009636e-05,2.7176509398354983e-06,8.756080998450412e-07
266,0000266.bin,7.910060285471279e-05,4.22201655265751e-06,1.0633884300158035e-05
267,0000267.bin,3.9178918173276655e-07,2.15977998243614e-06,1.0718470991144914e-06
268,0000268.bin,1.845489791348489e-05,4.010819511295314e-06,9.003121520027832e-07
269,0000269.bin,1.31715706111372e-07,4.509942593387797e-05,1.7807417676573945e-05
270,0000270.bin,3.4727741345247914e-05,1.1845707810839889e-06,1.7294673131457115e-07
271,0000271.bin,2.822975248138852e-06,1.1655271573118988e-06,1.0743537525826816e-05
272,0000272.bin,8.640941672309294e-05,1.19299877129181e-06,9.051611853057903e-06
273,0000273.bin,3.768595319210135e-07,7.941592700297669e-06,5.224260621542424e-07
274,0000274.bin,2.7130251267013716e-07,1.283794286449309e-06,1.3583744440715182e-07
275,0000275.bin,1.9007804493306593e-05,3.042257345629715e-05,5.155335836272876e-06
276,0000276.bin,1.3146413706403912e-06,3.9332931097492627e-07,1.959311464668304e-05
277,0000277.bin,5.061387694691744e-05,5.7195799581680465e-05,4.473691763326686e-07
278,0000278.bin,5.254729052683662e-05,3.11214684646925e-06,1.3272208514229278e-07
279,0000279.bin,1.7034456994560416e-06,2.3001825578636445e-05,1.4335972391998497e-07
280,0000280.bin,8.487035301520132e-07,9.286892290851003e-06,4.9236907746329216e-05
281,0000281.bin,1.1469688371546058e-07,5.720487939931863e-07,2.171655112617073e-06
282,0000282.bin,1.0355037604798127e-05,6.60072978474979e-05,2.753805505967715e-06
283,0000283.bin,1.4950228513878914e-05,2.568420309161298e-07,3.85169146953187e-06
284,0000284.bin,1.2544921111376708e-07,6.872241267753074e-07,2.0323926929502007e-07
285,0000285.bin,5.526150757101427e-06,1.4549773043256627e-06,5.731160030887571e-06
286,0000286.bin,2.9883401391728738e-06,8.917202255006493e-07,1.6237701495841862e-07
287,0000287.bin,4.655643424928697e-06,8.725279377968108e-07,2.2729650523684257e-07
288,0000288.bin,6.379659460895783e-05,6.978871514317221e-07,3.013722979973558e-06
289,0000289.bin,3.534069190502609e-05,6.557125340449722e-07,1.152739252758562e-05
290,0000290.bin,4.247066795437331e-06,1.0350246250148634e-06,2.9664617142745858e-06
291,0000291.bin,9.447404851439084e-06,1.5907342437188284e-05,8.537558102656954e-05
292,0000292.bin,2.0138544300294875e-05,1.9802722070867994e-05,2.8183725549088273e-07
293,0000293.bin,2.708552306012994e-06,2.20099377024052e-07,3.1726250120983037e-06
294,0000294.bin,3.3744494706125195e-07,2.838335228587057e-06,3.9472868954701906e-07
295,0000295.bin,3.8570900523728833e-05,7.0228119474245e-07,1.3441745372725417e-05
296,0000296.bin,1.65650348779082e-07,6.086567457733852e-05,1.2988245470175871e-06
297,0000297.bin,3.769723745749742e-06,1.7565645955008923e-05,8.896847850830859e-05
298,0000298.bin,4.1441074250405253e-07,8.749845529540794e-06,3.4602078592942163e-07
299,0000299.bin,1.2366265065771394e-06,1.445118062589966e-05,1.0919606349933856e-07
300,0000300.bin,6.209939317006996e-06,1.0817566512546028e-06,1.0103798739333051e-07
301,0000301.bin,1.5711053576416185e-06,2.5020481822206842e-05,3.0202865906024793e-06
302,0000302.bin,7.863429392778106e-05,4.140521466988356e-06,4.5746565075104275e-06
303,0000303.bin,1.2444355871058384e-07,8.061415097412263e-05,3.8434106039899126e-07
304,0000304.bin,2.5213541345870293e-07,1.9085829015303014e-06,3.6002010404904354e-05
305,0000305.bin,3.529985484659929e-07,5.008578393397073e-06,7.828666893383494e-06
306,0000306.bin,1.9476912148048915e-06,3.7536732331361825e-06,3.7093380195629075e-07
307,0000307.bin,8.188346883167175e-06,7.977174243616255e-07,1.1946026025691278e-05
308,0000308.bin,3.648737509558383e-07,7.951290847126823e-05,1.1639863601476045e-06
309,0000309.bin,1.5500421421811446e-07,1.0029465928379427e-07,3.9076857221009695e-07
310,0000310.bin,4.499532940153372e-06,3.6894941969500534e-07,6.023225438325567e-07
311,0000311.bin,2.8928514683838857e-05,5.909361943035451e-07,1.6327833765830238e-07
312,0000312.bin,8.936380272168938e-06,9.330236493061171e-06,1.2507986431719646e-07
313,0000313.bin,4.940941354973657e-06,8.090955240877074e-05,1.9064628301494322e-06
314,0000314.bin,3.8841306106989484e-07,2.1597191674574854e-07,1.0183950641981991e-07
315,0000315.bin,1.6978251488635753e-06,1.7447089688602644e-06,1.1111797298886101e-07
316,0000316.bin,1.1998986450300833e-07,6.907382823859429e-05,1.0960297141316017e-07
317,0000317.bin,2.4355157961146945e-06,1.3015263126749915e-05,1.4312832826851515e-06
318,0000318.bin,1.2471295069536445e-05,1.3826844846905568e-07,1.5910951499921146e-06
319,0000319.bin,3.4183119535117867e-07,5.700470896714504e-05,2.3249608430349763e-05
320,0000320.bin,2.1706493282736723e-06,7.728774163508066e-06,2.0627773186566153e-06
321,0000321.bin,6.704685198669857e-07,2.3804514844579e-07,4.842299848255573e-06
